Unnamed: 0,Sample_Date,Image_Date,Time_Sample,Image_Hour,Station_Sample,Parameter,Value,Unit,Depth,Depth_Unit,Local_Name,Location_Type,Lat,Lon,Country,Organization_Data,Hemisphere,Season,Source_Domain,Diff_Date,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,MSK_CLDPRB,MSK_SNOW,QA60,CLDYPXPER,DRK_FEA_PE,NDWI,NBSI,Water_Check,Snow_Check,Scene_Class,geometry
3421,09/07/2019,08/07/2019,01:07:00,13:02:51,PC050S,Chlorophyll,1.07,ug/l,0.2,m,PaciÃƒÂ,Reservoir,-218.469,-433.364,Brazil,CEMIG,South,Winter,CEMIG,1,138,112,257,230,489,1811,2768,2529,2817,2250,1295,586,0,0,0,105.304,0.8703,-0.815506102,-2.736.877.307.392.990,Drought,No_Snow,Vegetation,POINT (-43.33638888888889 -21.846916666666665)
710,07/01/2021,08/01/2021,09:01:00,13:02:51,MA020S,Chlorophyll,1.07,ug/l,0.2,m,Marmelos,Reservoir,-217.875,-43.3,Brazil,CEMIG,South,Summer,CEMIG,1,650,700,1045,1134,1374,1994,2207,1959,2366,4717,1387,826,7,0,2048,497.539,0.0816,-0.304260985,-14.500.190.813.397.100,Drought,No_Snow,Cirrus,POINT (-43.29997222222222 -21.7875)
3427,09/07/2019,08/07/2019,08:07:00,13:02:51,MA010S,Chlorophyll,1.07,ug/l,0.2,m,Marmelos,Reservoir,-217.911,-433.144,Brazil,CEMIG,South,Winter,CEMIG,1,171,458,631,634,704,1314,1380,1520,1652,2362,1199,745,0,0,0,105.304,0.8703,-0.413296141,-1.926.137.622.820.910,Drought,No_Snow,Clowds Low,POINT (-43.314416666666666 -21.79111111111112)
4299,07/02/2019,08/02/2019,01:02:00,13:02:41,VIR60S,Chlorophyll,1.07,ug/l,0,m,IrapÃ,Reservoir,-167.331,-425.858,Brazil,CEMIG,South,Summer,CEMIG,1,11367,10526,9668,8984,9348,8542,8181,8084,8019,14153,5150,3589,100,0,1024,818.659,0.1817,0.089229383,-10.124.750.384.774.500,Humidity,No_Snow,Clouds High,POINT (-42.58580555555556 -16.733138888888888)
3429,09/07/2019,08/07/2019,09:07:00,13:02:51,MA020S,Chlorophyll,1.07,ug/l,0.2,m,Marmelos,Reservoir,-217.875,-43.3,Brazil,CEMIG,South,Winter,CEMIG,1,194,198,337,243,468,1110,1326,1371,1410,2211,943,482,0,0,0,105.304,0.8703,-0.605386417,-20.418.681.543.026.700,Drought,No_Snow,Vegetation,POINT (-43.29997222222222 -21.7875)
702,07/01/2021,08/01/2021,02:01:00,13:02:51,PI020S,Chlorophyll,1.07,ug/l,0.2,m,PiauÃ,Reservoir,-214.902,-434.035,Brazil,CEMIG,South,Summer,CEMIG,1,1367,1392,1630,1629,1814,1872,2003,1993,1998,6424,1127,881,22,0,2048,873.756,0.0414,-0.10019321,-1.318.106.527.607.360,Drought,No_Snow,Clouds Medim,POINT (-43.403527777777775 -21.490194444444445)
3432,03/07/2019,01/07/2019,02:07:00,13:12:51,RP002S,Chlorophyll,1.07,ug/l,0.2,m,Rio de Pedras,Reservoir,-202.153,-437.349,Brazil,CEMIG,South,Winter,CEMIG,2,281,408,671,726,952,1392,1544,1545,1763,1807,1531,992,0,0,0,5.354,18.434,-0.394404332,-2.133.626.152.011.920,Drought,No_Snow,Bare Soils,POINT (-43.73486111111112 -20.21525)
686,12/01/2021,11/01/2021,09:01:00,13:12:41,GF080S,Chlorophyll,1.07,ug/l,0.2,m,Gafanhoto,Reservoir,-200.994,-448.492,Brazil,CEMIG,South,Summer,CEMIG,1,6322,5555,5399,5000,5543,5402,5296,5450,5255,15752,2323,2672,100,0,1024,758.255,0.2128,-0.004700894,-1.185.536.703.834.040,Drought,No_Snow,Clouds High,POINT (-44.84916666666667 -20.099444444444444)
673,26/01/2021,25/01/2021,04:01:00,12:53:11,RO110S,Chlorophyll,1.07,ug/l,0,m,Rosal,Reservoir,-209.559,-417.174,Brazil,CEMIG,South,Summer,CEMIG,1,,,,,,,,,,,,,60,0,0,69.573,0.4647,,,Humidity,Snow,Uncknow,POINT (-41.717416666666665 -20.955944444444444)
4349,29/01/2019,27/01/2019,02:01:00,13:12:49,GF080S,Chlorophyll,1.07,ug/l,0.2,m,Gafanhoto,Reservoir,-200.994,-448.492,Brazil,CEMIG,South,Summer,CEMIG,2,7546,6448,5936,5479,6099,6243,6225,6053,6111,16350,2462,2554,100,0,1024,875.943,0.0629,-0.009758946,-1.133.861.433.962.260,Drought,No_Snow,Clouds High,POINT (-44.84916666666667 -20.099444444444444)
407,04/03/2021,04/03/2021,11:03:00,13:02:49,MM020S,Chlorophyll,1.07,ug/l,0.2,m,Machado Mineiro,Reservoir,-155.225,-415.158,Brazil,CEMIG,South,Summer,CEMIG,0,272,339,411,304,253,147,145,153,103,102,142,115,0,0,0,15.445,0.1414,0.457446809,-10.875.748.710.462.200,Water_Surface,No_Snow,Water,POINT (-41.51580555555555 -15.5225)
903,12/11/2020,10/11/2020,10:11:00,13:22:39,NP170S,Chlorophyll,1.07,ug/l,0.2,m,Nova Ponte,Reservoir,-191.745,-476.445,Brazil,CEMIG,South,Spring,CEMIG,2,8203,7757,7112,6650,7100,6801,6627,6646,6437,15876,2729,2616,100,0,1024,981.264,0.0002,0.033871202,-0.99673281,Humidity,No_Snow,Clouds High,POINT (-47.6445 -19.17452777777778)
118,11/05/2021,09/05/2021,04:05:00,13:22:29,EM40S,Chlorophyll,1.07,ug/l,0.2,m,EmborcaÃƒÂ�,Reservoir,-18.225,-476.419,Brazil,CEMIG,South,Autumn,CEMIG,2,243,280,456,272,614,1723,2204,2332,2512,2067,1123,539,0,0,0,17.056,13.063,-0.672883788,-17.981.926.315.789.400,Drought,No_Snow,Vegetation,POINT (-47.64194444444444 -18.225)
4432,10/01/2019,09/01/2019,01:01:00,13:02:41,RO20S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-208.355,-417.368,Brazil,CEMIG,South,Summer,CEMIG,1,239,172,468,252,925,2522,3442,3316,3658,3335,1806,752,0,0,0,0.5901,0.1126,-0.752642706,-20.096.629.743.589.700,Drought,No_Snow,Vegetation,POINT (-41.73675 -20.835472222222226)
4429,10/01/2019,09/01/2019,02:01:00,13:02:41,RO30S,Chlorophyll,1.07,ug/l,0.2,m,Rosal,Reservoir,-208.367,-417.369,Brazil,CEMIG,South,Summer,CEMIG,1,222,218,522,307,989,2740,3488,3324,3895,3938,1890,817,0,0,0,0.5901,0.1126,-0.728549142,-2.022.250.620.689.650,Drought,No_Snow,Vegetation,POINT (-41.73688888888889 -20.836694444444444)
107,12/05/2021,13/05/2021,01:05:00,13:02:49,VIR40S,Chlorophyll,1.07,ug/l,0.2,m,IrapÃ,Reservoir,-168.119,-426.833,Brazil,CEMIG,South,Autumn,CEMIG,1,109,182,196,177,139,61,80,64,50,10,32,26,0,0,0,0.0081,0.2176,0.507692308,-10.486.924.897.959.100,Water_Surface,No_Snow,Water,POINT (-42.68330555555556 -16.811944444444446)
4422,15/01/2019,13/01/2019,03:01:00,13:32:29,SS250S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-190.428,-505.039,Brazil,CEMIG,South,Summer,CEMIG,2,3136,3078,3322,3306,3814,4153,4194,4056,3993,12685,3428,2786,100,0,0,620.421,0.1129,-0.099484955,-17.233.776.857.314.800,Drought,No_Snow,Clouds High,POINT (-50.50388888888889 -19.04277777777778)
110,12/05/2021,13/05/2021,10:05:00,13:02:49,VIR60S,Chlorophyll,1.07,ug/l,0,m,IrapÃ,Reservoir,-167.331,-425.858,Brazil,CEMIG,South,Autumn,CEMIG,1,110,220,283,232,173,65,81,66,60,41,58,37,0,0,0,0.0081,0.2176,0.621776504,-0.893011208,Water_Surface,No_Snow,Water,POINT (-42.58580555555556 -16.733138888888888)
116,12/05/2021,13/05/2021,11:05:00,13:02:49,VIR50S,Chlorophyll,1.07,ug/l,0,m,IrapÃ,Reservoir,-167.289,-426.505,Brazil,CEMIG,South,Autumn,CEMIG,1,183,316,502,480,360,100,105,98,66,20,44,32,0,0,0,0.0081,0.2176,0.673333333,-0.658747092,Water_Surface,No_Snow,Water,POINT (-42.650527777777775 -16.728861111111108)
4416,15/01/2019,13/01/2019,11:01:00,13:32:29,SS30S,Chlorophyll,1.07,ug/l,0.2,m,SÃƒÂ£o Si,Reservoir,-189.386,-494.794,Brazil,CEMIG,South,Summer,CEMIG,2,191,181,530,362,1104,2374,3209,3085,3066,2476,1411,686,0,0,0,272.777,0.318,-0.706777317,-16.337.770.566.037.700,Drought,No_Snow,Vegetation,POINT (-49.47944444444445 -18.93861111111111)
3622,21/05/2019,22/05/2019,05:05:00,13:12:51,PF001S,Chlorophyll,1.07,ug/l,0.2,m,PoÃƒÂ§o,Reservoir,-218.131,-461.283,Brazil,CEMIG,South,Autumn,CEMIG,1,185,298,554,661,792,1099,1234,1078,1191,709,1080,552,0,0,0,0.405,0.2718,-0.321078431,-15.597.480.288.808.600,Drought,No_Snow,Water,POINT (-46.12830555555556 -21.81305555555556)
131,11/05/2021,09/05/2021,08:05:00,13:22:29,EM70S,Chlorophyll,1.07,ug/l,0.2,m,EmborcaÃƒÂ�,Reservoir,-183.807,-476.293,Brazil,CEMIG,South,Autumn,CEMIG,2,390,469,633,654,885,1153,1269,1321,1317,974,1276,835,0,0,0,17.056,13.063,-0.35209826,-20.937.435.955.766.100,Drought,No_Snow,Water,POINT (-47.629333333333335 -18.380666666666663)
